lambda,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
30,10,40,0.402056739362568,0.05602329493793102,0.20458664422230521,0.9999999999000001,0.9999999995454545,0.6250110999972094,-0.0,1
30,10,41,0.40881452218504977,0.05347958198024537,0.21571255287288552,0.9899999999010001,0.9523809519274377,0.6612258999957703,-0.0,1
30,10,42,0.4841124486944029,0.06690160275692891,0.23986617177710945,0.9599999999040001,0.8571428568367346,0.8985370000009425,-0.0,1
30,10,43,0.7236810854067742,0.1868786059470117,0.422347207019615,0.9899999999010001,0.9090909082644627,0.632943399992655,-0.0,1
30,10,44,0.688902307527968,0.1297992681925597,0.3352197746403953,0.969999999903,0.7692307686390532,0.5207574999949429,-0.0,1
30,10,45,0.37724032290372034,0.052163990993310747,0.20418089417179408,0.9599999999040001,0.8181818178099173,2.5712973999907263,0.0003447238578692205,0
30,10,46,0.5162047272623121,0.06400754246927785,0.24275046375589535,0.9599999999040001,0.8888888886419752,2.4778399000060745,0.00018990342873440218,0
30,10,47,0.3757369541403352,0.047850017817642726,0.2085989270214689,0.9899999999010001,0.9090909082644627,0.7922369000007166,-0.0,1
30,10,48,0.30135337521547345,0.030728449762497625,0.14918177833403629,0.9599999999040001,0.7999999996,2.405960899995989,0.000289221210142418,0
30,10,49,0.36678451059938577,0.06049301611431635,0.2108528342689538,0.9499999999050001,0.8387096771488033,2.4606254000100307,0.0009377794606507626,0
30,15,40,0.414563547590004,0.04186151912296382,0.1855234566182664,0.9688888888458271,0.85714285696793,3.1052925000112737,0.00018152746441374413,0
30,15,41,0.5066102868448601,0.060849009264113435,0.2300449591634654,0.9866666666228148,0.909090908815427,0.9209517999988748,-0.0,1
30,15,42,0.2823431022497069,0.031000910419668386,0.144886322137712,0.9333333332918519,0.7169811319401922,3.01167279999936,0.01129774586727898,0
30,15,43,0.26841845901937633,0.02521748112548965,0.1326345565088407,0.977777777734321,0.8837209300270417,2.971828400011873,8.510363864185294e-05,0
30,15,44,0.43032961152818133,0.04788637556521449,0.19642866787347257,0.9511111110688395,0.7924528300391598,2.90476230000786,0.00441121628705213,0
30,15,45,0.3625429055050173,0.037527915043241315,0.1688008853838865,0.9866666666228148,0.9387755100124948,3.1370756999967853,0.0027051325315601274,0
30,15,46,0.39652020169758256,0.05426743577542656,0.20810483715937667,0.9511111110688395,0.765957446645541,2.8379547000076855,0.00012943959117681954,0
30,15,47,0.44235375291052337,0.060568980428489266,0.22582097653903246,0.9822222221785679,0.882352940916955,0.9057749999919906,-0.0,1
30,15,48,0.3530820163344666,0.03054624318091078,0.16034497348193705,0.9555555555130864,0.8333333331944445,3.005145699993591,0.025285120554447208,0
30,15,49,0.33953397657015605,0.038212429313481996,0.154105505923722,0.9555555555130864,0.8437499998681641,2.9110794000007445,0.0012994334022746116,0
30,20,40,0.42184069803767577,0.0428166565534084,0.1894991886201055,0.9574999999760625,0.7999999999058824,3.6343412999995053,0.0008094601928013764,0
30,20,41,0.3361699156503305,0.03005122430342132,0.14702074072906451,0.9724999999756875,0.8533333332195556,3.6101529999868944,0.009397343114793028,0
30,20,42,0.33727855461505774,0.03379907921761952,0.1510629234536212,0.9724999999756875,0.8405797100231045,3.547723899988341,0.006485166634154659,0
30,20,43,0.2654423833161522,0.020270178918242978,0.11761293505991452,0.9599999999759999,0.7948717947698883,3.7680537999985972,0.00995143327098839,0
30,20,44,0.38178991469284546,0.035948211732871306,0.15895044361273977,0.9649999999758749,0.8372093022282315,3.852426600002218,0.0005153184102172464,0
30,20,45,0.32962046345428403,0.02877342154191865,0.1439618328605271,0.9599999999759999,0.804878048682332,3.736813700001221,0.014108727744814325,0
30,20,46,0.2956702746636626,0.025233963902657402,0.13853235090174817,0.9624999999759375,0.7999999998933334,3.6140073999995366,0.0013669060489289139,0
30,20,47,0.4077170657417904,0.043860272239252034,0.19506548557406317,0.9774999999755625,0.8474576269750071,1.1220520000060787,-0.0,1
30,20,48,0.6811970367370724,0.11590692530609784,0.31086302091303536,0.9124999999771874,0.7107438015941534,3.6300029999983963,0.0510412976972566,0
30,20,49,0.29912389956752905,0.024489716454226148,0.1411648970490673,0.9624999999759375,0.8275862068014269,3.798397100006696,0.01901104625325747,0
35,7,40,0.804790341737425,0.36393519191842816,0.5907594233092693,0.9999999997959184,0.9999999983333333,0.3769577000057325,-0.0,1
35,7,41,0.8313664549195813,0.2062106239087625,0.4187039365226782,0.9999999997959184,0.9999999987499999,0.3835513000085484,-0.0,1
35,7,42,0.6427238352797761,0.12840073096397883,0.3417217158560491,0.9795918365347771,0.9333333327111111,0.6276802999927895,-0.0,1
35,7,43,0.6739345958998404,0.12649888311219057,0.31818307461133327,0.959183673273636,0.7999999992,0.529668799994397,-0.0,1
35,7,44,1.0,0.1721,0.4,0.959183673273636,0.0,2.7350469999946654,-0.0,1
35,7,45,0.9456452205889182,0.32069857124572787,0.5086019655574089,0.9795918365347771,0.8571428559183674,0.2144177000009222,-0.0,1
35,7,46,1.0,0.28968000000000005,0.5160000000000001,0.8979591834902124,0.0,2.923897400003625,-0.0,1
35,7,47,0.28108990509575643,0.04375263736600803,0.16132237800558527,0.9999999997959184,0.9999999987499999,0.6195513999991817,-0.0,1
35,7,48,0.6418804375914772,0.2611731975934494,0.5038644565500641,0.9999999997959184,0.9999999983333333,0.6666917999973521,-0.0,1
35,7,49,1.0,0.1296,0.36,0.9795918365347771,0.0,2.8036131000117166,-0.0,1
35,10,40,0.4935372616104471,0.08441776491107421,0.26798077839758183,0.9899999999010001,0.9523809519274377,0.4698279000003822,-0.0,1
35,10,41,0.4703791542773492,0.07080201006375716,0.24740523324740432,0.9899999999010001,0.9523809519274377,0.9001144999929238,-0.0,1
35,10,42,0.5713919558302198,0.09321748208748358,0.2804739905272967,0.979999999902,0.9166666662847222,0.7698863000114216,-0.0,1
35,10,43,0.8071307247577051,0.23246249873386615,0.46826649752003924,0.9899999999010001,0.9090909082644627,0.4726927000010619,-0.0,1
35,10,44,0.8178757633144971,0.18294967497719122,0.38876604070396814,0.969999999903,0.7692307686390532,0.4560207000031369,-0.0,1
35,10,45,0.4015470355482569,0.059129119341405696,0.21870210289560782,0.9599999999040001,0.7999999996,2.6011687999998685,6.828416408933245e-05,0
