factor,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
1.0,7,40,0.1538064856234241,0.009721073049988815,0.09420749535659616,0.4081632652228238,0.17142857137959183,5.667878599997493,0.01098174973249413,0
1.0,7,41,0.14649976294578695,0.005384769164847293,0.06220285542744478,0.5510204080508122,0.26666666657777777,11.43117809999967,0.017050919582579992,0
1.0,7,42,0.10953398366079954,0.0030532198672993936,0.043992897776393994,0.5102040815285298,0.36842105253462604,20.665257100001327,0.006372043918370844,0
1.0,7,43,0.08643009926955783,0.0010333103385364681,0.025618132347414807,0.530612244789671,0.34285714275918366,13.983436800001073,0.0027087826162252534,0
1.0,7,44,0.2913693238903289,0.013362144399362565,0.11443728687173856,0.5510204080508122,0.15384615378698224,10.912954900006298,0.0025315615532789486,0
1.0,7,45,0.12193555201633766,0.0045565199231583035,0.06031393197410095,0.6530612243565181,0.319999999872,12.461869699996896,0.0076994997357951464,0
1.0,7,46,0.18531414709851518,0.008887403369001776,0.09047867201340545,0.5510204080508122,0.31249999990234373,12.720807999998215,0.004838153418428423,0
1.0,7,47,0.5943520230488842,0.195317735990736,0.3969294897714758,0.530612244789671,0.2580645160457856,10.870068399992306,0.0006709899652394891,0
1.0,7,48,0.126928356181836,0.007144094215684789,0.08301316313651556,0.4693877550062474,0.18749999994140626,7.390885400003754,0.004071255004058264,0
1.0,7,49,0.3141211075621862,0.010376937503877868,0.10186725432580318,0.6122448978342357,0.09523809519274376,6.506521999996039,0.006423664502647322,0
1.0,10,40,0.6396375223437729,0.14158305477017538,0.3507092264251675,0.6699999999330001,0.3999999999272727,12.63923899999645,0.002364619811442067,0
1.0,10,41,0.6245961413244605,0.12392561901698336,0.3371920685124385,0.649999999935,0.3636363635702479,14.882809600007022,0.006024839473329175,0
1.0,10,42,0.33889934359966634,0.02976209967815629,0.1475423014591499,0.419999999958,0.30952380948696145,12.74355729999661,0.021778770981664232,0
1.0,10,43,0.15764255144984965,0.005784180220432987,0.07177002948415094,0.47999999995200004,0.18749999997070316,13.862420400007977,0.009310995944936198,0
1.0,10,44,0.14189554083053296,0.004268614553790861,0.05916622670422805,0.579999999942,0.27586206891795484,15.663848600001074,0.004560064484254533,0
1.0,10,45,1.0,0.3667544205488165,0.5630151945757571,0.8899999999110001,0.0,14.678254300000845,-0.0,1
1.0,10,46,0.19129535299562975,0.0070612319199508874,0.07505309551120085,0.319999999968,0.3333333333006536,11.479454200001783,0.01818533000906429,0
1.0,10,47,0.122031332811654,0.003148062139830208,0.048888068742793216,0.579999999942,0.22222222218106996,12.044403100007912,0.01243526178783505,0
1.0,10,48,1.0,0.33844407131201265,0.5371104851728685,0.909999999909,0.0,12.740402099996572,-0.0,1
1.0,10,49,1.0,0.44979990564321953,0.6270193088060413,0.859999999914,0.0,14.98399709998921,-0.0,1
1.0,15,40,0.5505600675185334,0.06421631062327313,0.22194698797350979,0.45333333331318515,0.2807017543695496,15.083243500004755,0.3502888794089562,0
1.0,15,41,0.12732558509303765,0.0018188380263750156,0.038356956270171355,0.4977777777556543,0.2206896551571938,14.566972600005101,0.014462436906133897,0
1.0,15,42,1.0,0.3916522876189967,0.5734777162894323,0.9066666666263703,0.0,13.62758020000183,-0.0,1
1.0,15,43,0.6047355022860138,0.12714007791508308,0.32691473774587926,0.5688888888636049,0.281481481460631,15.065083699999377,0.008810278194795629,0
1.0,15,44,0.6447738351063457,0.10746152737844959,0.3027539993720958,0.5333333333096296,0.3137254901755735,14.849000699992757,0.009281245601238273,0
1.0,15,45,0.51754299785294,0.06733419619241815,0.23466333568449138,0.44444444442469133,0.27745664738280595,15.436528899997938,0.6418271703304798,0
1.0,15,46,0.5533240573511223,0.09939827567530019,0.28126758136664615,0.4977777777556543,0.2802547770522131,14.044418600009521,0.25921307281998607,0
1.0,15,47,0.14279090929822993,0.003502659763546601,0.05017443318650414,0.38666666664948146,0.19767441859315846,8.379496699999436,0.06257727042660065,0
1.0,15,48,1.0,0.24641762850959933,0.4481629082529762,0.875555555516642,0.0,7.7349750000139466,-0.0,1
1.0,15,49,1.0,0.331626278725925,0.5366108906654338,0.8666666666281481,0.0,7.369925699997111,-0.0,1
1.0,20,40,1.0,0.241183374060934,0.44072596718468166,0.8924999999776875,0.0,9.210545599999023,-0.0,1
1.0,20,41,1.0,0.26705396503594997,0.47283216742415046,0.9124999999771874,0.0,8.664983900001971,-0.0,1
1.0,20,42,1.0,0.2984831215492853,0.49476138761638533,0.924999999976875,0.0,8.71760349998658,-0.0,1
1.0,20,43,1.0,0.2900025242453835,0.49128377253101435,0.9124999999771874,0.0,8.63246770000842,-0.0,1
1.0,20,44,1.0,0.24724860823897735,0.44780397766182817,0.8924999999776875,0.0,8.739297599997371,-0.0,1
1.0,20,45,1.0,0.2659241171287336,0.45587982235820024,0.9074999999773125,0.0,8.773310499993386,-0.0,1
1.0,20,46,1.0,0.28926444994668676,0.4916127659795655,0.914999999977125,0.0,8.433032400003867,-0.0,1
1.0,20,47,0.3303474458336562,0.021902552945275905,0.13028119594351,0.43749999998906247,0.20494699645918915,10.574123200000031,0.029779557943344633,0
