lambda,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
0,7,40,0.16179720856421678,0.002299348971171679,0.0446384626356105,0.06122448978342357,0.11538461536242603,4.420693199994275,0.005605296585752575,0
0,7,41,0.12906586829770078,0.00022969723078294016,0.00982809917799582,0.08163265304456477,0.1509433961979352,4.1690975000019534,0.007120689083387228,0
0,7,42,0.10384713643964723,0.0010681213283797433,0.027470959910845163,0.14285714282798834,0.24999999995535713,4.101609299999836,0.0035149345490432943,0
0,7,43,0.12311376935567694,0.0006641110502717294,0.02205097311421324,0.12244897956684714,0.21818181814214876,4.074135500006378,0.002143548713375593,0
0,7,44,0.2723949950574921,0.00036660901190053004,0.016506488164739874,0.040816326522282384,0.07843137253364091,4.0781218000047375,0.004758539171200725,0
0,7,45,0.1142909386095283,0.00023876117207039367,0.01162691920504104,0.08163265304456477,0.1509433961979352,3.9920593999995617,0.005381150486598666,0
0,7,46,0.13384992673107127,0.0002683946016769388,0.011180263869746732,0.10204081630570595,0.18518518515089163,4.07241790000262,0.004215500652106056,0
0,7,47,0.5882244659935757,0.19069808056591092,0.3914682325047295,0.08163265304456477,0.1509433961979352,5.456526000001759,0.00027898535211380934,0
0,7,48,0.1316025060861311,9.097289202394751e-05,0.008213819040210199,0.06122448978342357,0.11538461536242603,5.477783400005137,0.002425167764274837,0
0,7,49,0.4678608583563693,0.0019034378785636507,0.04362840678461283,0.020408163261141192,0.039999999992,5.616986600005475,0.007342011667553206,0
0,10,40,0.6315258530306535,0.13765972422950068,0.3449810418894409,0.10999999998900001,0.1981981981803425,6.093377700002748,0.0008639812350944441,0
0,10,41,0.6164625704421606,0.1201650208971968,0.3317184250031819,0.09999999999,0.1818181818016529,7.686434900002496,0.0016314000721480678,0
0,10,42,0.33294814189983307,0.026487846571936938,0.1380526716420124,0.12999999998700001,0.23008849555485944,6.457326000003377,0.0077419569287547636,0
0,10,43,0.18488601434323815,0.0007599701747465783,0.02286020505239868,0.059999999994000006,0.11320754715913137,6.142113900001277,0.005445434681100714,0
0,10,44,0.14368386599773408,0.0004244041826857195,0.017234051514241563,0.079999999992,0.14814814813443072,6.094658099995286,0.00478203999488111,0
0,10,45,1.0,0.3667544205488165,0.5630151945757571,0.8899999999110001,0.0,6.618727200002468,-0.0,1
0,10,46,0.3224466279677926,0.019128713906719854,0.12294061650129204,0.169999999983,0.29059829057345316,6.613586400002532,0.014870143358654817,0
0,10,47,0.16162040245440282,0.0010679966966162682,0.022971476349307785,0.059999999994000006,0.11320754715913137,6.1277083000022685,0.007073125557030902,0
0,10,48,1.0,0.33844407131201265,0.5371104851728685,0.909999999909,0.0,8.80117770000652,-0.0,1
0,10,49,1.0,0.44979990564321953,0.6270193088060413,0.859999999914,0.0,7.951652100004139,-0.0,1
0,15,40,0.5445577017161015,0.06054336233070332,0.21351233495501734,0.10666666666192592,0.19277108432960757,8.025170199995046,0.05975628793524032,0
0,15,41,0.17609571868862683,0.000748469508586205,0.021990297641491758,0.07111111110795061,0.1327800829820423,8.59087890000228,0.008415018524806143,0
0,15,42,1.0,0.3916522876189967,0.5734777162894323,0.9066666666263703,0.0,9.629939900005411,-0.0,1
0,15,43,0.5978580015293042,0.12361387520277674,0.32157361498249043,0.08444444444069135,0.1557377049116501,10.135028099997726,0.0019957216724906537,0
