factor,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
1,7,40,0.24537016892681052,0.03306309535212219,0.17969735398343,0.85714285696793,0.46153846118343195,1.1196434000012232,0.0013319265009551062,0
1,7,41,0.21222801466342986,0.012263955396630612,0.09728276105203648,0.7551020406622241,0.3999999998,1.092898700007936,0.009079691848303918,0
1,7,42,0.1933780487010301,0.010255936217839337,0.09013532208181155,0.8367346937067889,0.6363636360743802,1.1138271000090754,0.004863586580765447,0
1,7,43,0.21658928179140993,0.01073171459145548,0.09807029191181053,0.8367346937067889,0.5555555552469136,1.5922207000112394,0.00011506180768311466,0
1,7,44,0.45585867028995636,0.035763606604634526,0.1883659139115822,0.9999999997959184,0.9999999975,0.807110299996566,-0.0,1
1,7,45,0.3199601044520954,0.03560933679566856,0.17626105155138422,0.8163265304456476,0.470588235017301,2.096038599993335,0.0015963241249057777,0
1,7,46,0.258460560107361,0.018362394643662606,0.12901790737559185,0.8775510202290712,0.624999999609375,2.0023731000110274,0.00871094754083209,0
1,7,47,0.08225899192574354,0.0019356941117415944,0.0393585458238208,0.8163265304456476,0.470588235017301,1.5336218000011286,0.011605500618416297,0
1,7,48,0.2662574352378729,0.040300524033207295,0.20058250039472011,0.7551020406622241,0.3333333331481481,1.595885000002454,0.05019057079432381,0
1,7,49,0.6001499097786841,0.04577906536894116,0.21396042944652444,0.8775510202290712,0.24999999968749997,1.7379518000088865,0.004497988102888806,0
1,10,40,0.21574912785000686,0.014542428172962148,0.08976076820974496,0.7799999999220001,0.4999999998863636,2.2325492999952985,0.010003450829677208,0
1,10,41,0.15367777027444313,0.006573857478581874,0.06907990003025315,0.829999999917,0.5405405403944485,2.266133799988893,0.0002294989623829611,0
1,10,42,0.20178954080913553,0.00925392818514196,0.0899862244366958,0.679999999932,0.44827586199167657,2.0012440999998944,0.018078744619085957,0
1,10,43,0.30390849468983866,0.031954662113471234,0.17183514766016028,0.8499999999150001,0.44444444427983537,1.7705446999898413,0.0030240772102365643,0
1,10,44,0.262777343391698,0.017667466328906915,0.12174897726526893,0.8499999999150001,0.5161290320915712,1.7911053999996511,0.008494164087670432,0
1,10,45,0.1852306019169578,0.010864659897632191,0.08962331783745507,0.729999999927,0.4489795917451062,2.136387899998226,0.013585310846468171,0
1,10,46,0.21624927139452146,0.009747892325605696,0.08704270613362723,0.729999999927,0.5573770490889546,2.4580511000094702,0.039736164311222164,0
1,10,47,0.17193942009415214,0.008773736711891767,0.08591965772237918,0.8899999999110001,0.5217391302079395,1.8976499999989755,0.000528122619290208,0
1,10,48,0.181355397465312,0.009285087177788646,0.07900033488223691,0.749999999925,0.41860465106544076,1.871948700005305,0.015925074135030904,0
1,10,49,0.21485873157039362,0.020069305520225015,0.11626611075037689,0.6299999999370001,0.43076923070295864,1.7203080000035698,0.02661825373800795,0
1,15,40,0.232731380375138,0.01055661071557362,0.07476278952655296,0.7555555555219753,0.4660194174304836,2.6682743999990635,0.0334676142331719,0
1,15,41,0.21642937354002886,0.007764371459192091,0.07374866201062011,0.7777777777432099,0.3902439023914337,3.135423700005049,0.029779873949694946,0
1,15,42,0.1833112674303187,0.01000779441868852,0.08227658340036995,0.6844444444140246,0.3603603603278955,2.024250500006019,0.06000246057578999,0
1,15,43,0.1316597328177152,0.004207936811738615,0.048315452322214625,0.7333333333007407,0.3877551020012495,2.22477900001104,0.03167352802160634,0
