lambda,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
5,7,40,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,0.9724528000224382,0.09235613964817008,0
5,7,41,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.0035524999839254,0.09235613964817008,0
5,7,42,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,0.9870608999626711,0.09235613964817008,0
5,7,43,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,0.9798822999582626,0.09235613964817008,0
5,7,44,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.0057664000196382,0.09235613964817008,0
5,7,45,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.0462529999786057,0.09235613964817008,0
5,7,46,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.033209800021723,0.09235613964817008,0
5,7,47,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,0.9973067999817431,0.09235613964817008,0
5,7,48,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.0129051000112668,0.09235613964817008,0
5,7,49,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.1041026000166312,0.09235613964817008,0
5,10,40,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.0647738999687135,0.09235613964817008,0
5,10,41,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.1000803000060841,0.09235613964817008,0
5,10,42,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.0590487000299618,0.09235613964817008,0
5,10,43,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.281907600001432,0.09235613964817008,0
5,10,44,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.2974381999811158,0.09235613964817008,0
5,10,45,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.2683633000124246,0.09235613964817008,0
5,10,46,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.2496924999868497,0.09235613964817008,0
5,10,47,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.297282700019423,0.09235613964817008,0
5,10,48,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.2652025999850594,0.09235613964817008,0
5,10,49,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.297008600027766,0.09235613964817008,0
5,15,40,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.375327899993863,0.09235613964817008,0
5,15,41,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.2299056999618188,0.09235613964817008,0
5,15,42,0.17903355026309817,0.008190249916602377,0.08913057432490606,0.5555555549382716,0.49999999937499995,1.3994353000307456,0.09235613964817008,0
